,user,condition,performance,stim,uid,gls_id,bin,code
420,27,baseline,1528.83333333333,5,27,1,0,0_5
421,27,baseline,1394.55555555556,6,27,1,0,0_6
422,27,baseline,1265.66666666667,7,27,1,0,0_7
423,27,baseline,1782.7,8,27,1,0,0_8
424,27,ime,2820.0,1,27,1,3,3_1
425,27,ime,2602.66666666667,2,27,1,3,3_2
426,27,ime,3616.09090909091,3,27,1,3,3_3
427,27,ime,2227.33333333333,4,27,1,3,3_4
428,27,ime,2674.8,5,27,1,3,3_5
429,27,ime,2582.25,6,27,1,3,3_6
430,27,ime,2278.1,7,27,1,3,3_7
431,27,ime,4780.0,8,27,1,3,3_8
432,27,windows,8749.0,1,27,1,1,1_1
433,27,windows,9237.375,2,27,1,1,1_2
434,27,windows,9029.7,3,27,1,1,1_3
435,27,windows,12311.3636363636,4,27,1,1,1_4
436,27,windows,11980.5555555556,5,27,1,1,1_5
437,27,windows,11820.5,6,27,1,1,1_6
438,27,windows,9375.3,7,27,1,1,1_7
439,27,windows,6473.875,8,27,1,1,1_8
440,27,crulp,3308.22222222222,1,27,1,2,2_1
441,27,crulp,3540.45454545455,2,27,1,2,2_2
442,27,crulp,2626.44444444444,3,27,1,2,2_3
443,27,crulp,2281.125,4,27,1,2,2_4
444,27,crulp,2895.25,5,27,1,2,2_5
445,27,crulp,3491.90909090909,6,27,1,2,2_6
446,27,crulp,3379.55555555556,7,27,1,2,2_7
447,27,crulp,3476.36363636364,8,27,1,2,2_8
448,28,baseline,4705.66666666667,1,28,2,0,0_1
449,28,baseline,4353.5,2,28,2,0,0_2
450,28,baseline,4272.55555555556,3,28,2,0,0_3
451,28,baseline,5074.5,4,28,2,0,0_4
452,28,baseline,4991.16666666667,5,28,2,0,0_5
453,28,baseline,3797.88888888889,6,28,2,0,0_6
454,28,baseline,5186.22222222222,7,28,2,0,0_7
455,28,baseline,5264.4,8,28,2,0,0_8
456,28,windows,35803.2222222222,1,28,2,2,2_1
457,28,windows,27286.6363636364,2,28,2,2,2_2
458,28,windows,19756.6666666667,3,28,2,2,2_3
459,28,windows,15692.875,4,28,2,2,2_4
460,28,windows,15479.375,5,28,2,2,2_5
461,28,windows,27882.8181818182,6,28,2,2,2_6
462,28,windows,16044.0,7,28,2,2,2_7
463,28,windows,36422.9090909091,8,28,2,2,2_8
